Node,AttackType,TimeStep,InitialEnergy,EnergyLevel,EnergyDrained,ActualEnergyConsumed,ActualAttackSuccessRate,AttackDuration
1,Sybil,1,2000,894.709047452848,1105.29095254715,1105.29095254715,0.999984159007655,22
15,Sybil,1,2000,925.468609680133,1074.53139031987,1074.53139031987,0.999978453860591,22
33,Sybil,1,2000,1352.56793123187,647.432068768135,647.432068768135,0.998457453547679,22
37,Sybil,1,2000,1015.69378915364,984.306210846357,984.306210846357,0.999946885580264,22
65,Sybil,1,2000,1205.6978849441,794.302115055896,794.302115055896,0.999644868051119,22
88,Sybil,1,2000,1040.35671436623,959.643285633774,959.643285633774,0.999932029233956,22
1,Sybil,2,2000,0,890.820357573311,890.820357573311,0.999864725373534,22
15,Sybil,2,2000,0,921.579919800596,921.579919800596,0.999900544395371,22
33,Sybil,2,2000,701.247172584194,647.432068768135,647.432068768135,0.998457453547679,22
37,Sybil,2,2000,27.498888427749,984.306210846357,984.306210846357,0.999946885580264,22
65,Sybil,2,2000,407.507080008671,794.302115055896,794.302115055896,0.999644868051119,22
88,Sybil,2,2000,76.8247388529146,959.643285633774,959.643285633774,0.999932029233956,22
1,Sybil,3,2000,0,-3.77695082062394,-3.77695082062394,-0.0384918414433368,22
15,Sybil,3,2000,0,-3.77695082062394,-3.77695082062394,-0.0384918414433368,22
33,Sybil,3,2000,50.0381529954346,647.432068768135,647.432068768135,0.998457453547679,22
37,Sybil,3,2000,0,23.721937607125,23.721937607125,0.211181778807352,22
65,Sybil,3,2000,0,403.730129188047,403.730129188047,0.982354973003581,22
88,Sybil,3,2000,0,73.0477880322907,73.0477880322907,0.518321249715676,22
1,Sybil,4,2000,0,-3.74658935854361,-3.74658935854361,-0.0381765879968892,22
15,Sybil,4,2000,0,-3.74658935854361,-3.74658935854361,-0.0381765879968892,22
33,Sybil,4,2000,0,46.291563636891,46.291563636891,0.370554267404151,22
37,Sybil,4,2000,0,-3.74658935854361,-3.74658935854361,-0.0381765879968892,22
65,Sybil,4,2000,0,-3.74658935854361,-3.74658935854361,-0.0381765879968892,22
88,Sybil,4,2000,0,-3.74658935854361,-3.74658935854361,-0.0381765879968892,22
1,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
15,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
33,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
37,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
65,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
88,Sybil,5,2000,0,-3.73854500748964,-3.73854500748964,-0.0380930767866032,22
1,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
15,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
33,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
37,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
65,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
88,Sybil,6,2000,0,-3.73151654287556,-3.73151654287556,-0.0380201173460342,22
